Question,Answer
پاکستان میں قومی واقعات کیا ہیں,23 مارچ اور 14 اگست
پاکستان میں نیشنل ایونٹ,23 مارچ اور 14 اگست
تعلیم کے لئے معیشت کے تناسب کے قابل,2961.926 ملین روپے
تعلیم کو مختص معیشت کے تناسب کا خالص مال کیا ہے؟,2961.926 ملین روپے
پاکستان میں سب سے زیادہ عام بیماریوں کا نام,ڈینگی پاکستان میں مقبول بیماری ہے
پاکستان میں سب سے زیادہ عام بیماری,ڈینگی پاکستان میں مقبول بیماری ہے
پاکستان میں سب سے زیادہ عام بیماری کیا ہے,ڈینگی پاکستان میں مقبول بیماری ہے
پاکستان کا سب سے بڑا شہر؟,کراچی
پاکستان کے صوبوں,پاکستان میں چار صوبوں
پاکستان کے قومی بینک,پاکستان کا قومی بینک ہے
پاکستان نیشنل بینک,پاکستان کا قومی بینک ہے
پاکستان میں تعلیمی نظام,پاکستان میں تعلیمی نظام اچھی حالت میں نہیں ہے
پاکستان کی تعلیمی نظام کے بارے میں کیا ہے,پاکستان میں تعلیمی نظام اچھی حالت میں نہیں ہے
پاکستان کا آخری صدر؟,آصف زرداری پاکستان کے سابق صدر تھے
پاکستان کے آخری صدر کا نام,آصف زرداری پاکستان کے سابق صدر تھے
پاکستان کا آخری صدر کون تھا؟,آصف زرداری پاکستان کے سابق صدر تھے
آپ پاکستان کی زبانوں کے بارے میں کیا جانتے ہیں,اردو پاکستان کی قومی زبان
کون نے پاکستان کو قائم کیا,قائد اعظم نے قائم کی
کون نے پاکستان بنایا؟,قائد اعظم نے پاکستان بنایا
قائد اعظم محمد علی جناح کون ہیں,پاکستان کے بانی
آپ کا نام کیا ہے,میرا نام پی کے بی بوٹ ہے
قائداعظم محمد علی جناح,پاکستان کے بانی
قومی لباس؟,شلوارکمیز پاکستان کا قومی لباس ہے
علامہ اقبال کون تھا؟,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان میں مختلف دریاؤں کے نام لکھیں,جہلم، سچل، چناب، سندھ اور راوی
کہاں بینک شاخ ہے,مختلف شہروں میں
تاریخی مقامات,پاکستان میں تاریخی جگہ ہارپا اور موہنجو ڈارون ہے
قومی لباس کیا ہے؟,شلوارکمیز پاکستان کا قومی لباس ہے
پاکستان کے موجودہ قومی کچلنے کا نام,ہانیہ امیر پاکستان کا قومی کریش ہے
پاکستان کے قومی علامات کیا ہیں,آپ کے بارے میں کون سی علامت جاننا چاہتا ہے؟
پاکستان کا دارالحکومت کیا ہے؟,اسلام آباد
پاکستان کے صوبوں,پاکستان میں چار صوبوں
پاکستان میں صحت,پاکستان میں صحت کو بہتر بنانے کی ضرورت ہے
وزیراعظم کون ہے؟,شاہد خاق اباسد پاکستان کے موجودہ وزیراعظم ہیں
پاکستان کے صوبوں کا نام؟,پنجاب، سندھ، بلوچستان اور کے پی پی کے
پاکستان کا سب سے بڑا صوبہ کیا ہے؟,پنجاب پنجاب کا سب سے بڑا صوبہ ہے
پاکستان کے بانی,قائداعظم پاکستان کے بانی تھے
فوجی سربراہ کون ہے؟,قمر جاوید باجوہ اسٹاف آف آرمی چیف ہیں
پاکستان میں مذہبی واقعات کہاں ہیں.,عید الکرم میں عید الازہ
پنجاب کے وزیر اعلی کا نام,شہباز شریف کا پاکستان کا موجودہ وزیر ہے
جو پاکستان کے وزیر اعلی ہے,شہباز شریف کا پاکستان کا موجودہ وزیر ہے
پنجاب کے موجودہ وزیراعلی؟,شہباز شریف کا پاکستان کا موجودہ وزیر ہے
پاکستان کا بڑا برآمد کیا ہے؟,کپاس پاکستان کا بڑا برآمد ہے
پاکستان کے صوبوں,پاکستان میں چار صوبوں
پاکستان میں دہشت گردی کے بارے میں آپ کیا جانتے ہیں؟,پاکستان میں سیاحت بڑھ رہی ہے
پاکستان کا صدر,ممنون حسین پاکستان کے موجودہ صدر ہیں
پاکستان کا برآمد,کپاس پاکستان کا بڑا برآمد ہے
پاکستان میں مذہبی افادیت پر آپ کے خیالات کیا ہیں؟,مذہبی انتہا پسندی نے پاکستان کو برا اثر انداز کیا
قومی کھیل؟,ہاکی
پاکستان میں اہم مذہبی واقعات کا نام,کرسمس کے دن میرے ارد گرد، کرسمس کے دن عید الازہ
پاکستان کے مذہبی واقعات کیا ہیں,کرسمس کے دن میرے ارد گرد، کرسمس کے دن عید الازہ
بینکوں,نیشنل بینک، حبیب بینک، سوناری بینک، یو این بینک، بینک الالہلہ
پاکستان کے صوبے کیا ہیں,پنجاب، سندھ، بلوچستان اور کے پی پی کے
پاکستان کا قومی کھیل کیا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
منگو,آم پاکستان کے قومی پھل ہے
پاکستان کی زبانیں,اردو پاکستان کی قومی زبان ہے
پاکستان کی زبانیں کیا ہیں,انگریزی پاکستان کی سرکاری زبان ہے
پاکستان کا قومی علامہ,آپ کے بارے میں کون سی علامت جاننا چاہتا ہے؟
قائد اعظم کی وفات,11 ستمبر، 1948
قائداعظم کب مر گیا؟,11 ستمبر، 1948
پاکستان درآمد کیا ہے,الیکٹرانکس پاکستان میں اہم درآمد ہے
منگو,آم پاکستان کے قومی پھل ہے
سیب,سیب اکثر پاکستان کے شمالی علاقوں میں بڑھ جاتا ہے
پاکستان کے بانی کا نام؟,قائد اعظم نے قائم کی
پاکستان کی سرکاری زبان کا نام,انگریزی پاکستان کی سرکاری زبان ہے
پاکستان کی سرکاری زبان کیا ہے؟,انگریزی پاکستان کی سرکاری زبان ہے
پاکستان کے کتنے صوبے؟,پاکستان میں چار صوبوں
اسلام آباد,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کا نمبر ایک بولر ہے,شعیب اختر پاکستان کا ایک ایک بولر تھا
پاکستان کے نمبر 1 بالر,شعیب اختر پاکستان کا ایک ایک بولر تھا
پاکستانی فلم کی صنعت کا گنجائش؟,لالی ووڈ پاکستان میں مقبول فلم صنعت ہے
پاکستان کی برآمد کیا ہے,کپاس پاکستان کا بڑا برآمد ہے
پاکستان میں معلومات کی ٹیکنالوجی کی صورت حال,پاکستان میں معلومات کی ٹیکنالوجی تیزی سے بڑھ رہی ہے
پاکستان میں معلومات کی ٹیکنالوجی؟,پاکستان میں معلومات کی ٹیکنالوجی تیزی سے بڑھ رہی ہے
پاکستان کی قومی برادری کیا ہے؟,چاکور پاکستان کی قومی نسل ہے
پاکستان کے اہم تعلیمی اداروں,LUMS اور AKU پاکستان میں بہترین یونیورسٹی ہیں
پاکستان میں تعلیمی ادارہ,LUMS اور AKU پاکستان میں بہترین یونیورسٹی ہیں
پاکستان کا سب سے بڑا ڈیم کیا ہے؟,تربایل ڈیم سب سے بڑی ڈیم ہے
پاکستان کا پہلا صدر کون تھا؟,اسککر مرزا مرزا پاکستان کے پہلے صدر تھے
پاکستان کا کیا مسئلہ ہے,دہشت گردی پاکستان کا ایک بڑا مسئلہ ہے
پاکستان کیا ہے,پاکستان ایک ملک ہے
نیاز شریف کون ہے؟,نواب احمد شفیق پاکستان کے سابق وزیر اعظم تھے
ترقی کے معاملے میں پاکستان کی اہم مسائل,فساد بڑا مسئلہ ہے
پاکستان کی تعلیم میں پیچھے کیوں نہیں ہے اس وجہ سے اہم مسائل کیا ہیں؟,فساد بڑا مسئلہ ہے
پاکستان میں سب سے بڑا بندرگاہ,گوادر پاکستان میں سب سے بڑا بندرگاہ ہے
پاکستان میں سب سے بڑا بندرگاہ کا نام,گوادر پاکستان میں سب سے بڑا بندرگاہ ہے
کراچی میں سب سے بڑا بندرگاہ کتنا بڑا ہے,گوادر پاکستان میں سب سے بڑا بندرگاہ ہے
کتنے صوبے پاکستان ہیں؟,پاکستان میں چار صوبوں
پاکستان کے بڑے مسائل کیا ہیں,دہشت گردی اور بدعنوانی پاکستان کی اہم مسائل ہیں
مارخور,مارخور پاکستان کا قومی جانور ہے
قومی پھول؟,جوسمین پاکستان کا قومی پھول ہے
ہماری قومی شاعر کون ہے؟,علامہ اقبال ہماری قومی شاعر ہے
قومی جانور؟,مارخور پاکستان کا قومی جانور ہے
قومی کھیل؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان میں اہم مذہب,اسلام اسلام میں بڑا مذہب ہے
پاکستان کے اکثریت کے مذہب,اسلام اسلام میں بڑا مذہب ہے
پاکستان میں خوراک کا مشہور شہر,لاہور کھانے کے لئے مشہور ہے
پاکستان کے مشہور شہر غذا کے مطابق,لاہور کھانے کے لئے مشہور ہے
پاکستان میں زرعی امکانات,پاکستان میں زرعی کمی ہے
کراچی کے کل علاقے,کاراکی کے علاقے 3،527 کلومیٹر مربع ہے
کراچی کا کیا علاقہ ہے,کاراکی کے علاقے 3،527 کلومیٹر مربع ہے
کراچی کتنا بڑا ہے,کاراکی کے علاقے 3،527 کلومیٹر مربع ہے
مجھے پاکستان کی مذہبی تقریب بتاؤ؟,عید الکرم میں عید الازہ
نانی وادی کہاں ہے,نران کے پی کے ک کے اوپری خانہ میں ہے
پنجاب کے وزیر اعلی,شہباز شریف کا پاکستان کا موجودہ وزیر ہے
پاکستان کا دارالحکومت کیا ہے؟,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کی قومی برادری کیا ہے؟,چاکور پاکستان کی قومی نسل ہے
اردو,اردو پاکستان کی قومی زبان ہے
پاکستان کے قومی ٹی وی,پاکستان ٹیلی ویژن (پی ٹی وی) قومی ٹی وی چینل ہے
جو پاکستان کے قومی ٹی وی چینل ہے,پاکستان ٹیلی ویژن (پی ٹی وی) قومی ٹی وی چینل ہے
پاکستان میں سب سے بہترین سیاست دان کا نام,عمران خان بہترین سیاستدان ہیں
پاکستان کا بہترین سیاستدان؟,عمران خان بہترین سیاستدان ہیں
پاکستان میں زراعت,پاکستان میں زرعی کمی ہے
پاکستان کا سب سے چھوٹا شہر کا نام,چکوال سب سے چھوٹا شہر ہے
پاکستان کا سب سے چھوٹا شہر,چکوال سب سے چھوٹا شہر ہے
پاکستان کا سب سے چھوٹا شہر کیا ہے,چکوال سب سے چھوٹا شہر ہے
لہر میں آب و ہوا کیا ہے؟,لہر میں موسم گرما بہت گرم ہے
پاکستان کے بدترین شہر کا نام؟,پاکستان کا بدترین شہر کراچی ہے
جس شہر پاکستان میں بدترین شہر ہے,پاکستان کا بدترین شہر کراچی ہے
پاکستان کا سب سے بڑا شہر؟,پاکستان کا بدترین شہر کراچی ہے
پاکستان کی ماں,فاطمه جناح پاکستان کی ماں ہے
پاکستان کی ماں کا نام,فاطمه جناح پاکستان کی ماں ہے
